,MergedDB EdgeId,Merge DB Source Node ID,Merge DB Target Node ID,Old Edge Id List,Source Label,Target Label
0,0,2319,809,[0],whole wheat crispbread,whole; shape achieved by forming; thickness <0.3 cm.
1,1,2319,15560,[1],whole wheat crispbread,fully heat-treated
2,2,2319,15561,[2],whole wheat crispbread,seed; skin present; germ present
3,3,2321,2278,[3],gruenland cheese,solid
4,4,2321,15562,[4],gruenland cheese,partially heat-treated
5,5,2321,15563,[5],gruenland cheese,curd
6,6,2321,5330,[6],gruenland cheese,lactic acid-other agent fermentation process
7,7,2321,15564,[7],gruenland cheese,pasteurization by heating
8,8,2326,2278,[8],lisita (raw),solid
9,9,2326,15565,[9],lisita (raw),not heat-treated
10,10,2326,13548,[10],lisita (raw),skeletal meat part
11,11,2,15566,"[11, 33544]",light cream,liquid; low viscosity; with no visible particles
12,12,2,15562,"[12, 33545]",light cream,partially heat-treated
13,13,2,9028,"[13, 33546]",light cream,mammalian light cream (18%-30%)
14,14,2,15564,"[14, 33547]",light cream,pasteurization by heating
15,15,2327,15567,[15],coffee bean (whole or ground),whole; natural shape
16,16,2327,2316,[16],coffee bean (whole or ground),seed; skin present; germ removed
17,17,2328,11347,[17],pudding sugar-free instant,finely ground
18,18,2328,15560,[18],pudding sugar-free instant,fully heat-treated
19,19,2328,1493,[19],pudding sugar-free instant,dry mix
20,20,2328,621,[20],pudding sugar-free instant,obsolete: starch
21,21,2328,15568,[21],pudding sugar-free instant,water removal process
22,22,2328,15569,[22],pudding sugar-free instant,preservation by dehydration or drying
23,23,2328,15570,[23],pudding sugar-free instant,nonnutritive sweetener added
24,24,2328,15571,[24],pudding sugar-free instant,flavoring or taste ingredient added
25,25,2328,2317,[25],pudding sugar-free instant,http://purl.obolibrary.org/obo/FOODON_03460147
26,26,2328,12286,[26],pudding sugar-free instant,sugars free food
27,27,4,816,"[27, 12764, 23524]",vegetable shortening,semisolid with smooth consistency
28,28,4,15562,"[28, 12765]",vegetable shortening,partially heat-treated
29,29,4,175,"[29, 12766, 23525]",vegetable shortening,fat or oil
30,30,4,4226,"[30, 12767]",vegetable shortening,food hydrogenation proess
31,31,4,12022,[31],vegetable shortening,food bleaching process
32,32,4,10196,[32],vegetable shortening,food alkalization process
33,33,2329,8337,[33],soup base flavored with beef extract,food (liquid)
34,34,2329,15560,[34],soup base flavored with beef extract,fully heat-treated
