,Merge DB Node ID,Merged Nodes Old ID list,label
0,0,"[18072, 3]",citron melon plant
1,1,"[8, 17720]",bullhead
2,2,"[10, 17899]",light cream
3,3,"[11, 2543]",sangria
4,4,"[6717, 14, 12607]",vegetable shortening
5,5,"[15968, 14470, 1392, 16784, 21, 11320]",guava (dried)
6,6,"[24, 8997, 3509]",soursop
7,7,"[2256, 25]",papaya concentrate
8,8,"[6602, 26, 8277]",cuttlefish
9,9,"[14376, 31]",09660 - cassava roots (efsa foodex2)
10,10,"[9840, 33, 5075]",devilfish (raw)
11,11,"[34, 20678, 19886, 12947, 17589]",cloudberry (canned)
12,12,"[35, 20937, 10122, 20748, 17677, 17818, 4434, 8856, 697, 2586, 16607]",bacon (raw)
13,13,"[11713, 3397, 13574, 39, 20614, 18569, 11902, 5647, 15921, 2902, 17020, 5438]",obsolete: beverage base
14,14,"[8904, 42]",native currant plant
15,15,"[12325, 2950, 1416, 14409, 4904, 45, 4206, 6608, 4631, 12376, 3289, 6202, 1435, 4316]",plant dessert food product
16,16,"[17120, 17888, 9421, 46]",gelatin fruit salad
17,17,"[48, 7570, 11600, 18084]",melon plant
18,18,"[50, 20723]",05550 - leeks (efsa foodex2)
19,19,"[9975, 741, 55]",menhaden (raw)
20,20,"[56, 18024]",maple syrup
21,21,"[1625, 61]",leatherjacket
22,22,"[1376, 66, 17893, 20454, 19630, 624, 19412, 1781, 950, 567, 280]",potato plant
23,23,"[13246, 68, 11102]",endive
24,24,"[69, 13525, 18874, 5789, 19071]",fish (salted)
25,25,"[13681, 70, 4647]",southern bluefin tuna
26,26,"[13345, 21346, 72, 13704, 9354, 19038, 1324, 1708, 9420, 15725, 16949, 7640, 6297, 5309, 446]",chocolate candy food product
27,27,"[13504, 12490, 78, 21391, 12211, 19993]",langostino (frozen)
28,28,"[81, 6546]",flan
29,29,"[19080, 11145, 15753, 2572, 14477, 7438, 13455, 14860, 13977, 14499, 13739, 16306, 19763, 14644, 8249, 20799, 4291, 18379, 82, 12250, 6880, 1510, 18037]",scallop
30,30,"[18944, 21752, 14981, 13463, 10777, 10666, 5934, 9136, 16690, 21042, 6850, 10178, 17871, 83, 11351, 20575, 18534, 5103, 370, 18808, 8700]",fat content > 4%
31,31,"[3105, 961, 2504, 6988, 11117, 15981, 88, 3098]",whiting (raw)
32,32,"[89, 10050, 15905]",seltzer water
33,33,"[11523, 3782, 4818, 3706, 92, 18301]",yellowfin tuna (canned)
34,34,"[11385, 93, 21126]",moreton bay chestnut black bean (raw)
35,35,"[1468, 94]",black fungus
36,36,"[18281, 18477, 4823, 635, 95]",0220000 - bulb vegetables (ec)
37,37,"[97, 10098, 3767]",apple pie
38,38,"[105, 14945, 501, 21430]",red currant food product
39,39,"[18868, 12236, 109]",snapper
40,40,"[112, 7342]",rye bran
41,41,"[114, 9151]",naked sole
42,42,"[13706, 116]",knotweed family
43,43,"[17764, 19012, 7846, 16427, 4715, 9972, 117]",beet plant
44,44,"[120, 10985, 21124]",processed fruit product (eurofir)
45,45,"[4227, 14790, 20876, 2641, 12436, 9876, 19703, 121, 7837]",pasta
46,46,"[10688, 12128, 19778, 12963, 14150, 11692, 10221, 17868, 17937, 13138, 19798, 3383, 122, 4571]",pear (whole)
47,47,"[13029, 123, 11941, 20687]",mullet
48,48,"[4241, 127]",licorice plant
49,49,"[129, 17300]",ginger ale
50,50,"[3554, 132]",indian mackerel
51,51,"[771, 4742, 137, 209, 13525, 245, 18874, 13307, 5789, 19071]",fish (cooked)
52,52,"[20329, 139]",color additive (us cfr)
53,53,"[144, 10624]",juniper plant
54,54,"[146, 2818, 4621]",marrowfat pea plant
55,55,"[20557, 150]",0620000 - coffee beans (ec)
56,56,"[10052, 10629, 6246, 2888, 16411, 3690, 5168, 1841, 5299, 2069, 15894, 215, 153, 1882, 7097]",margarine (us cfr)
57,57,"[3844, 11665, 1170, 19346, 157, 11294, 5921, 291, 11562, 2222, 13623, 3391, 5571, 462, 9040, 18386, 12886, 20184, 9312, 8805, 756, 17400, 7673, 6013]",cream (raw)
