,index_A,index_B,simVal
0,3,18072,0.9999999403953552
1,8,17720,1.0
2,10,17899,1.0
3,11,2543,1.0
4,14,6717,1.0
5,14,12607,1.0
6,21,11320,1.0
7,21,15968,1.0
8,24,3509,1.0
9,24,8997,1.0
10,25,2256,0.9999999403953552
11,26,6602,1.0
12,26,8277,1.0
13,31,14376,1.0
14,33,5075,0.9999999403953552
15,33,9840,0.9999999403953552
16,34,19886,1.0
17,34,20678,1.0
18,35,697,0.9999999403953552
19,35,17818,0.9999999403953552
20,35,20937,0.9999999403953552
21,39,2902,1.0
22,39,3397,1.0
23,39,5438,1.0
24,39,5647,1.0
25,39,11713,1.0
26,39,11902,1.0
27,39,13574,1.0
28,39,15921,1.0
29,39,17020,1.0
30,39,18569,1.0
31,39,20614,1.0
32,42,8904,1.0
33,45,4631,1.0
34,45,6608,0.9996995568275452
35,45,12376,1.0
36,45,14409,1.0
37,46,9421,0.9999999403953552
38,48,7570,1.0000001192092896
39,48,11600,1.0000001192092896
40,48,18084,1.0000001192092896
41,50,20723,1.0000001192092896
42,55,741,1.0
43,55,9975,1.0
44,56,18024,1.0
45,61,1625,1.0
46,66,17893,0.9999999403953552
47,66,19412,0.9999999403953552
48,66,20454,0.9999999403953552
49,68,11102,0.9999999403953552
50,68,13246,0.9999999403953552
51,69,5789,0.9999999403953552
52,69,13525,0.9999999403953552
53,69,18874,0.9999999403953552
54,69,19071,0.9999999403953552
55,70,4647,0.9999999403953552
56,70,13681,0.9999999403953552
57,72,1708,1.0
58,72,7640,1.0
59,78,12211,0.9999999403953552
60,78,19993,0.9999999403953552
61,81,6546,1.0
62,82,1510,1.0000001192092896
63,82,13739,1.0000001192092896
64,82,18037,1.0000001192092896
65,83,370,1.0
66,83,5103,1.0
67,83,5934,1.0
68,83,6850,1.0
69,83,8700,1.0
70,83,9136,1.0
71,83,10178,1.0
72,83,10666,1.0
73,83,10777,1.0
74,83,11351,1.0
75,83,13463,1.0
76,83,14981,1.0
77,83,16690,1.0
78,83,17871,1.0
79,83,18534,1.0
80,83,18808,1.0
81,83,18944,1.0
82,83,20575,1.0
83,83,21042,1.0
84,83,21752,1.0
85,88,3098,1.0
86,88,3105,1.0
87,88,6988,1.0
88,88,11117,1.0
89,89,10050,0.9999999403953552
90,92,3782,1.0
91,92,11523,1.0
92,92,18301,1.0
93,93,11385,1.0
94,93,21126,1.0
95,94,1468,0.9999999403953552
96,95,635,1.0
97,95,4823,1.0
98,97,10098,1.0
99,105,501,1.0
100,105,14945,1.0
101,109,12236,1.0
102,109,18868,1.0
103,112,7342,1.0
104,114,9151,1.0
105,116,13706,0.9990227222442627
106,117,4715,1.0
107,117,7846,1.0
108,117,9972,1.0
109,117,16427,1.0
110,117,17764,1.0
111,117,19012,1.0
112,120,10985,1.0
113,121,9876,1.0
114,121,12436,1.0
115,121,14790,1.0
116,122,3383,0.9999999403953552
117,122,4571,0.9999999403953552
118,122,10221,0.9999999403953552
119,122,10688,0.9999999403953552
120,122,11692,0.9999999403953552
121,122,12128,0.9999999403953552
122,122,12963,0.9999999403953552
123,122,13138,0.9999999403953552
124,122,14150,0.9999999403953552
125,122,17868,0.9999999403953552
126,122,17937,0.9999999403953552
127,122,19778,0.9999999403953552
128,122,19798,0.9999999403953552
129,123,11941,1.0
130,123,13029,1.0
131,123,20687,1.0
132,127,4241,0.9999999403953552
133,129,17300,1.0
134,132,3554,1.0
135,137,4742,0.9999999523162841
136,137,5789,0.9999999403953552
137,137,13525,0.9999999403953552
138,137,18874,0.9999999403953552
139,137,19071,0.9999999403953552
140,139,20329,1.0
141,144,10624,1.0
142,146,2818,0.9999999403953552
143,146,4621,0.9999999403953552
144,150,20557,1.0
145,153,2069,0.9999999403953552
146,153,3690,0.9999999403953552
147,153,15894,0.9999999403953552
148,157,291,0.9999999403953552
149,157,7673,0.9999999403953552
150,161,16143,0.9999999403953552
151,161,20336,0.9999999403953552
152,162,5681,1.0
153,162,20807,1.0
154,167,11909,1.0
155,170,14988,1.0
156,173,10446,1.0
157,176,8406,1.0
158,178,824,1.0
159,178,7924,1.0
160,181,12967,1.0
161,181,15271,1.0
162,181,16389,1.0
163,187,824,1.0
164,187,7924,1.0
165,191,6996,1.0
166,191,13594,1.0
167,193,6940,1.0
168,195,4168,1.0
169,195,13163,1.0
170,195,17147,1.0
171,195,19848,1.0
172,200,8207,1.0
173,202,17109,1.0
174,203,13795,1.0
175,206,3196,1.0
176,206,4374,1.0
177,206,4849,1.0
178,206,5038,1.0
179,206,7751,1.0
180,206,9556,1.0
181,206,10420,1.0
182,206,11006,1.0
183,206,14195,1.0
184,206,14520,1.0
185,206,15826,1.0
186,208,414,1.0
187,208,9745,1.0
188,208,15313,1.0
189,209,5789,0.9999999403953552
190,209,13525,0.9999999403953552
191,209,18874,0.9999999403953552
192,209,19071,0.9999999403953552
193,211,1762,1.0
194,213,15337,1.0
195,213,19609,1.0
196,215,2069,0.9999999403953552
197,215,3690,0.9999999403953552
198,215,15894,0.9999999403953552
199,218,7588,1.0
200,219,9606,0.9999999403953552
201,219,10211,0.9999999403953552
202,219,11675,0.9999999403953552
203,219,12307,0.9999999403953552
204,219,15654,0.9999999403953552
205,219,16553,0.9999999403953552
206,219,20625,0.9999999403953552
207,221,943,1.0
208,221,2239,1.0
209,221,3559,1.0
210,221,13825,1.0
211,224,12251,1.0
212,224,15707,1.0
213,224,16996,1.0
214,224,17105,1.0
215,226,4190,1.0
216,226,4517,1.0
217,226,20948,1.0
218,230,10746,1.0
219,231,11944,1.0
220,231,12044,1.0
221,231,17765,1.0
222,231,21041,1.0
223,232,3404,0.9999999403953552
224,232,10852,0.9999999403953552
225,232,19741,0.9999999403953552
226,233,6737,1.0
227,233,12405,1.0
228,233,17004,1.0
229,233,19416,1.0
230,234,9540,1.0
231,234,10135,1.0
232,235,13973,1.0
233,237,4950,1.0
234,239,9374,0.9999999403953552
235,239,10553,0.9999999403953552
236,239,18528,0.9999999403953552
237,242,5378,0.9999999403953552
238,243,19109,1.0000001192092896
239,245,5789,0.9999999403953552
240,245,13307,0.9999999523162841
241,245,13525,0.9999999403953552
242,245,18874,0.9999999403953552
243,245,19071,0.9999999403953552
244,246,773,0.9999999403953552
245,246,4581,0.9999999403953552
246,246,6253,0.9999999403953552
247,246,17270,0.9999999403953552
248,246,17392,0.999975860118866
249,246,20890,0.9999023675918579
250,248,18793,1.0
251,248,19810,1.0
252,252,12755,1.0
253,252,15577,1.0
254,252,17533,1.0
255,253,15804,1.0
256,253,16887,1.0
257,253,18091,1.0
258,253,20533,1.0
259,256,5935,1.0
260,256,10314,1.0
261,257,17801,1.0
262,259,10911,1.0
263,259,13092,1.0
264,267,805,1.0
265,269,14550,0.9999999403953552
266,269,19017,0.9999999403953552
267,272,21345,1.0
268,273,20224,1.0
269,275,4615,1.0
270,276,10909,1.0
271,278,857,0.9993396997451782
272,278,1228,0.9992607831954956
273,278,3908,0.9992102980613708
274,278,4229,0.9994761943817139
275,278,9875,0.9992720484733582
276,278,11158,0.999335765838623
277,278,13306,0.9991953372955322
278,278,13713,0.9992867708206177
279,278,20592,0.9990926384925842
280,279,19136,1.0
281,280,17893,0.9999999403953552
282,280,19412,0.9999999403953552
283,280,20454,0.9999999403953552
284,290,8285,1.0
285,290,11764,1.0
286,291,462,0.9999999403953552
287,291,756,0.9999999403953552
288,291,1170,0.9999999403953552
289,291,2222,0.9999999403953552
290,291,3391,0.9999999403953552
291,291,3844,0.9999999403953552
292,291,5571,0.9999999403953552
293,291,5921,0.9999999403953552
294,291,6013,0.9999999403953552
295,291,7673,0.9999999403953552
296,291,8805,0.9999999403953552
297,291,9040,0.9999999403953552
298,291,9312,0.9999999403953552
299,291,11294,0.9999999403953552
300,291,11562,0.9999999403953552
301,291,11665,0.9999999403953552
302,291,12886,0.9999999403953552
303,291,13623,0.9999999403953552
304,291,17400,0.9999999403953552
305,291,18386,0.9999999403953552
306,291,19346,0.9999999403953552
307,291,20184,0.9999999403953552
308,293,8697,1.0
309,294,1650,1.0
310,294,20574,1.0
311,295,1894,0.9999999403953552
312,295,3829,0.9999999403953552
313,296,20714,1.0
314,298,3000,1.0
315,298,19932,1.0
316,301,6049,1.0
317,303,4970,1.0
318,303,8703,0.9996488690376282
319,303,14266,1.0
320,303,16095,1.0
321,303,20202,1.0
322,304,6415,1.0
323,304,21232,1.0
324,305,6650,1.0
325,305,10058,1.0
