id,label,uri,type,type_generic,predicate_type
0,whole wheat crispbread,http://purl.obolibrary.org/obo/FOODON_03302471,food,food,
1,USDA SR sweets (1900),http://purl.obolibrary.org/obo/FOODON_03401289,food,food,
2,gruenland cheese,http://purl.obolibrary.org/obo/FOODON_03303853,food,food,
3,citron melon food product,http://purl.obolibrary.org/obo/FOODON_00002433,food,food,
4,blueflag plant,http://purl.obolibrary.org/obo/FOODON_03415163,food,food,
5,CCFAC beverages; excluding dairy products,http://purl.obolibrary.org/obo/FOODON_03400639,food,food,
6,independent continuant,http://purl.obolibrary.org/obo/BFO_0000004,food,food,
7,habanero pepper plant,http://purl.obolibrary.org/obo/FOODON_03412555,food,food,
8,bullhead,http://purl.obolibrary.org/obo/FOODON_03414066,food,food,
9,lisita (raw),http://purl.obolibrary.org/obo/FOODON_03309236,food,food,
10,light cream,http://purl.obolibrary.org/obo/FOODON_03301486,food,food,
11,33770 - sangria (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543377,food,food,
12,coffee bean (whole or ground),http://purl.obolibrary.org/obo/FOODON_03301477,food,food,
13,pudding sugar-free instant,http://purl.obolibrary.org/obo/FOODON_03309386,food,food,
14,vegetable shortening,http://purl.obolibrary.org/obo/FOODON_03302604,food,food,
15,soup base flavored with beef extract,http://purl.obolibrary.org/obo/FOODON_03304210,food,food,
16,beef eye round (roasted),http://purl.obolibrary.org/obo/FOODON_03311461,food,food,
17,laminate tube; unlined aluminum ends,http://purl.obolibrary.org/obo/FOODON_03490127,food,food,
18,43050 - macadamia flavour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544305,food,food,
19,ice krill,http://purl.obolibrary.org/obo/FOODON_03413578,food,food,
20,neogastropod,http://purl.obolibrary.org/obo/FOODON_03411010,food,food,
21,guava (dried),http://purl.obolibrary.org/obo/FOODON_03316375,food,food,
22,fruit sherbet (artificially sweetened),http://purl.obolibrary.org/obo/FOODON_03305427,food,food,
23,40200 - salads (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544020,food,food,
24,soursop (whole; raw),http://purl.obolibrary.org/obo/FOODON_03305318,food,food,
25,papaya concentrate (nonnutritively sweetened),http://purl.obolibrary.org/obo/FOODON_03306845,food,food,
26,cuttlefish (sliced; seasoned; dried),http://purl.obolibrary.org/obo/FOODON_03309045,food,food,
27,sponge gourd plant,http://purl.obolibrary.org/obo/FOODON_03411721,food,food,
28,green tea (powdered),http://purl.obolibrary.org/obo/FOODON_03307820,food,food,
29,ziao-z pastry (case),http://purl.obolibrary.org/obo/FOODON_03315483,food,food,
30,36190 - yarrow infusion flowers (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543619,food,food,
31,09660 - cassava roots (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540966,food,food,
32,fermented rice beverage,http://purl.obolibrary.org/obo/FOODON_00001051,food,food,
33,devilfish food product,http://purl.obolibrary.org/obo/FOODON_00001807,food,food,
34,cloudberry (canned),http://purl.obolibrary.org/obo/FOODON_03301259,food,food,
35,bacon (baked),http://purl.obolibrary.org/obo/FOODON_03311588,food,food,
36,01890 - dried stuffed egg pasta (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540189,food,food,
37,fat or oil; nonemulsified,http://purl.obolibrary.org/obo/FOODON_03317408,food,food,
38,fruit punch homemade prepared with fruit,http://purl.obolibrary.org/obo/FOODON_03310776,food,food,
39,obsolete: beverage base,http://purl.obolibrary.org/obo/FOODON_03306258,food,food,
40,03570 - wheat; popped (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540357,food,food,
41,romano cheese (grated),http://purl.obolibrary.org/obo/FOODON_03304893,food,food,
42,15840 - native currant (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541584,food,food,
